Epoch,Error,Time
0,2714.6329869583847,00:00:00.006
100,161.6086165058318,00:00:00.284
200,141.47200516134214,00:00:00.473
300,137.73621451452374,00:00:00.646
400,135.47048152654736,00:00:00.817
500,133.8026193832367,00:00:00.970
600,132.50428943025156,00:00:01.131
700,131.45866653629514,00:00:01.365
800,130.59347577289887,00:00:01.517
900,129.8610778556671,00:00:01.673
1000,129.22899685777492,00:00:01.832
1100,128.6745332466835,00:00:01.986
1200,128.18147415976998,00:00:02.145
1300,127.73800726233173,00:00:02.299
1400,127.33536296063498,00:00:02.464
1500,126.9669119691325,00:00:02.624
1600,126.62755456137742,00:00:02.774
1700,126.31330047726195,00:00:02.913
1800,126.02097567748484,00:00:03.040
1900,125.74801484732893,00:00:03.199
2000,125.49231271653667,00:00:03.345
2100,125.25211626482664,00:00:03.518
2200,125.02594570197091,00:00:03.706
2300,124.81253593145573,00:00:03.874
2400,124.61079275053002,00:00:04.021
2500,124.41975975623178,00:00:04.167
2600,124.23859310018759,00:00:04.340
2700,124.06654204635922,00:00:04.511
2800,123.90293385317449,00:00:04.669
2900,123.74716190229688,00:00:04.808
3000,123.59867628215757,00:00:04.935
3100,123.45697624019397,00:00:05.055
3200,123.32160406705123,00:00:05.201
3300,123.19214008538002,00:00:05.331
3400,123.0681984963433,00:00:05.454
3500,122.94942389678623,00:00:05.574
3600,122.83548832466725,00:00:05.700
3700,122.72608872389802,00:00:05.832
3800,122.62094474501625,00:00:05.969
3900,122.51979681737636,00:00:06.095
4000,122.42240444304419,00:00:06.215
4100,122.3285446737995,00:00:06.334
4200,122.23801074103874,00:00:06.459
4300,122.15061081498735,00:00:06.578
4400,122.06616687452824,00:00:06.729
4500,121.984513672808,00:00:06.856
4600,121.90549778673011,00:00:06.978
4700,121.82897674069835,00:00:07.127
4800,121.75481819670823,00:00:07.257
4900,121.68289920428546,00:00:07.380
5000,121.61310550477366,00:00:07.498
5100,121.54533088536158,00:00:07.630
5200,121.47947657884644,00:00:07.774
5300,121.41545070569873,00:00:07.899
5400,121.35316775536197,00:00:08.020
5500,121.29254810411662,00:00:08.143
5600,121.23351756705371,00:00:08.262
5700,121.17600698196347,00:00:08.399
5800,121.11995182311425,00:00:08.538
5900,121.06529184304723,00:00:08.664
6000,121.01197074063562,00:00:08.784
6100,120.95993585377461,00:00:08.907
6200,120.9091378751144,00:00:09.028
6300,120.85953058942212,00:00:09.157
6400,120.81107063109538,00:00:09.280
6500,120.76371726053574,00:00:09.406
6600,120.71743215807726,00:00:09.547
6700,120.6721792342467,00:00:09.711
6800,120.62792445520628,00:00:09.846
6900,120.5846356822359,00:00:09.983
7000,120.54228252424757,00:00:10.118
7100,120.50083620228591,00:00:10.256
7200,120.46026942513322,00:00:10.393
7300,120.42055627509107,00:00:10.529
7400,120.38167210316344,00:00:10.666
7500,120.34359343283471,00:00:10.802
7600,120.30629787178219,00:00:10.937
7700,120.26976403084556,00:00:11.075
7800,120.23397144965294,00:00:11.212
7900,120.19890052839266,00:00:11.346
8000,120.16453246518297,00:00:11.481
8100,120.13084919863904,00:00:11.618
8200,120.09783335518888,00:00:11.755
8300,120.06546820079144,00:00:11.888
8400,120.03373759670822,00:00:12.024
8500,120.00262595902274,00:00:12.160
8600,119.9721182216485,00:00:12.296
8700,119.94219980254722,00:00:12.434
8800,119.91285657294031,00:00:12.570
8900,119.88407482930535,00:00:12.707
9000,119.85584126794971,00:00:12.844
9100,119.82814296196338,00:00:12.982
9200,119.80096734042482,00:00:13.122
9300,119.77430216961763,00:00:13.258
9400,119.74813553618337,00:00:13.398
9500,119.72245583198631,00:00:13.534
9600,119.69725174059916,00:00:13.674
9700,119.67251222523753,00:00:13.812
9800,119.64822651801647,00:00:13.951
9900,119.62438411040006,00:00:14.101
10000,119.60097474473076,00:00:14.407
10100,119.57798840668849,00:00:14.646
10200,119.5554153185929,00:00:14.827
10300,119.53324593344128,00:00:15.007
10400,119.51147092955344,00:00:15.154
10500,119.4900812057669,00:00:15.296
10600,119.46906787705433,00:00:15.434
10700,119.44842227052239,00:00:15.575
10800,119.4281359216793,00:00:15.715
10900,119.4082005709485,00:00:15.854
11000,119.38860816032032,00:00:15.996
11100,119.36935083013903,00:00:16.134
11200,119.35042091593512,00:00:16.275
11300,119.3318109453032,00:00:16.413
11400,119.3135136347751,00:00:16.551
11500,119.29552188665029,00:00:16.690
11600,119.27782878580682,00:00:16.828
11700,119.26042759641096,00:00:16.969
11800,119.24331175859047,00:00:17.109
11900,119.22647488500579,00:00:17.248
12000,119.20991075734798,00:00:17.387
12100,119.19361332274552,00:00:17.525
12200,119.1775766901177,00:00:17.665
